City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,kuhdasht,33.535,47.6061,82.81,22.0,0.0,4.94,IR,1717651355.0
138,kudahuvadhoo,2.6708,72.8944,82.13,71.0,61.0,2.13,MV,1717651270.0
139,tsaratanana,-16.7833,47.65,70.77,68.0,0.0,9.06,MG,1717651355.0
140,ilulissat,69.2167,-51.1,33.82,93.0,100.0,2.3,GL,1717651258.0
141,hammerfest,70.6634,23.6821,61.25,44.0,0.0,12.66,NO,1717651355.0
142,noyabrsk,63.1994,75.4507,45.23,79.0,100.0,10.0,RU,1717651355.0
143,vernon,50.2581,-119.2691,56.61,54.0,25.0,1.14,CA,1717651264.0
144,taksimo,56.3444,114.8794,51.08,67.0,100.0,9.24,RU,1717651355.0
145,dachne,44.8833,34.9833,74.1,60.0,37.0,2.55,UA,1717651355.0
146,puerto baquerizo moreno,-0.9,-89.6,70.56,87.0,18.0,9.73,EC,1717651271.0
147,ugoofaaru,5.6667,73.0,83.32,74.0,43.0,6.91,MV,1717651356.0
148,leshan,29.5623,103.7639,74.77,75.0,100.0,1.5,CN,1717651356.0
149,arraial do cabo,-22.9661,-42.0278,71.58,75.0,40.0,12.39,BR,1717651078.0
150,lebu,-37.6167,-73.65,57.02,94.0,96.0,15.43,CL,1717651256.0
151,lamar,33.6668,-95.5836,71.51,89.0,0.0,5.75,US,1717651356.0
152,san antonio,29.4241,-98.4936,82.15,73.0,0.0,4.61,US,1717651322.0
153,n'zeto,-7.2312,12.8666,70.43,86.0,86.0,6.35,AO,1717651356.0
154,khandyga,62.6667,135.6,64.45,34.0,56.0,3.91,RU,1717651275.0
155,hermanus,-34.4187,19.2345,54.81,86.0,52.0,14.45,ZA,1717651254.0
156,ayr,55.4627,-4.6339,48.18,76.0,75.0,9.22,GB,1717651356.0
157,shantobe,52.4581,68.1839,72.45,65.0,65.0,10.29,KZ,1717651357.0
158,ponta delgada,37.7333,-25.6667,65.19,82.0,40.0,17.27,PT,1717651310.0
159,solnechnyy,50.7214,136.6319,58.03,56.0,100.0,4.9,RU,1717651357.0
160,chibougamau,49.9168,-74.3659,69.42,64.0,0.0,9.22,CA,1717651038.0
161,hithadhoo,-0.6,73.0833,82.67,71.0,80.0,5.46,MV,1717651263.0
162,kittila,67.6647,24.8936,63.61,59.0,0.0,8.05,FI,1717651357.0
163,nouadhibou,20.931,-17.0347,66.18,82.0,3.0,17.27,MR,1717651272.0
164,howard springs,-12.497,131.047,83.98,44.0,18.0,7.74,AU,1717651358.0
165,masterton,-40.9597,175.6575,56.1,87.0,86.0,2.51,NZ,1717651358.0
166,punta arenas,-53.15,-70.9167,37.51,75.0,75.0,16.11,CL,1717650978.0
167,phek,25.6667,94.5,86.02,44.0,7.0,2.66,IN,1717651358.0
168,vilyuysk,63.7553,121.6247,66.99,26.0,100.0,15.99,RU,1717651313.0
169,galliano,29.4422,-90.2992,80.6,83.0,0.0,3.44,US,1717651358.0
170,mount isa,-20.7333,139.5,65.97,37.0,0.0,9.22,AU,1717651262.0
171,marang,5.2056,103.2059,91.31,60.0,85.0,6.11,MY,1717651358.0
172,bartica,6.4,-58.6167,79.12,99.0,57.0,1.61,GY,1717651090.0
173,samitah,16.596,42.9444,90.19,58.0,43.0,3.83,SA,1717651359.0
174,sheregesh,52.9209,87.9869,65.95,55.0,98.0,6.11,RU,1717651359.0
175,cargados carajos,,,,,,,,
